repository_url,api_technical_name,version,snow_business_application_id,snow_application_service_id,platform,lifecycle_status,classification,api_contract_url,documentation_url,api_hosting_country,gateway_type,gateway_proxy_url,gateway_config_url,consumer_application_service_ids,consuming_country_code,consuming_group_member_code
https://alm-github.systems.uk.hsbc/GCDS-Repository/rdh-master-ui,cto-mmf-hk-hase-pa-customer-accounts,1.0.0,BA0001754,AS0003321,GCP_OTHER,ACTIVE,INTERNAL,https://example.com/api/contract.yaml,https://confluence.example.com/api-docs,GB,KONG,https://proxy.example.com,https://config.example.com,AS0003321,GB,HASE
https://alm-github.systems.uk.hsbc/GCDS-Repository/rdh-master-ui,jenkins-pipeline-api,2.0.0,BA0001754,AS0003322,GCP_OTHER,ACTIVE,INTERNAL,https://example.com/api/pipeline-contract.yaml,https://confluence.example.com/pipeline-docs,GB,KONG,https://proxy.example.com,https://config.example.com,AS0003322,GB,HASE
https://github.com/Manas2101/Portfolio,payment-service-api,v2.1.0,APP001234,gcp,active,internal,Payment processing API for e-commerce transactions,Payment Team,payment-team@example.com,,,,,,,
https://github.com/Manas2101/Portfolio,checkout-service-api,v1.0.0,APP001234,gcp,active,internal,Checkout and cart management API,Payment Team,payment-team@example.com,,,,,,,
https://github.com/example/user-api,user-management-api,v1.5.2,APP001235,aws-eks,active,confidential,User authentication and profile management,Identity Team,identity@example.com,,,,,,,
https://github.com/example/inventory-api,inventory-service-api,v3.0.1,APP001236,azure,active,internal,Inventory tracking and management system,Supply Chain Team,supply@example.com,,,,,,,
https://github.com/example/notification-api,notification-service-api,v1.2.0,APP001237,caep,pre_release,internal,Multi-channel notification delivery service,Platform Team,platform@example.com,,,,,,,
https://github.com/example/legacy-api,legacy-order-api,v0.9.5,APP001238,gcp,demised,internal,Legacy order processing API (deprecated),Legacy Team,legacy@example.com,,,,,,,
https://github.com/example/analytics-api,analytics-service-api,v2.3.0,APP001239,aws-eks,active,restricted,Real-time analytics and reporting API,Analytics Team,analytics@example.com,,,,,,,
https://github.com/example/search-api,search-service-api,v1.8.0,APP001240,gcp,active,public,Product search and discovery API,Search Team,search@example.com,,,,,,,
https://github.com/example/billing-api,billing-service-api,v2.0.0,APP001241,azure,excluded,confidential,Billing and invoice management API,Finance Team,finance@example.com,,,,,,,
https://alm-github.systems.uk.hsbc/GDT-MDS/gdt-mds-gcapi-1001-orch-v3.git,gdt-mds-gcapi-1001-orch-v3,v3,BA0016990,AS0016990,SHP-IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GDT-MDS/gdt-mds-gcapi-1001-orch-v3/blob/release-v3.2.1/api/api.yaml,,UK,KONG,https://digitalprod-int-rbwm.systems.uk.hsbc/gdt-mds-gcapi-1001-orch-prod-internal-proxy/v3/api/master-data/v3/party,,AS0016990,UK,CDUUK
https://alm-github.systems.uk.hsbc/GDT-MDS/gdt-mds-gcapi-1018-cdm-v1.git,gdt-mds-gcapi-1018-cdm-v1,v1,BA0016990,AS0016990,SHP-IKP,ACTIVE,INTERNAL,,,,KONG,,,,,
https://alm-github.systems.uk.hsbc/GDT-MDS/gdt-mds-gcapi-2019-rdh-cache-service-v1.git,gdt-mds-gcapi-2019-rdh-cache-service-v1,v1,BA0016990,AS0016990,SHP-IKP,ACTIVE,INTERNAL,,,,KONG,,,,,
https://alm-github.systems.uk.hsbc/GDT-MDS/gdt-mds-gcdu-2008-party-v1.git,gdt-mds-gcdu-2008-party-v1,v1,BA0016990,AS0016990,SHP-IKP,ACTIVE,INTERNAL,,,,KONG,,,,,
https://alm-github.systems.uk.hsbc/GDT-MDS/gdt-mds-gcdu-1002-party-v2.git,gdt-mds-gcdu-1002-party-v2,v2,BA0016990,AS0016990,SHP-IKP,ACTIVE,INTERNAL,,,,KONG,,,,,
https://alm-github.systems.uk.hsbc/GDT-MDS/gdt-mds-gcapi-2002-reg-cust-reln_v1.git,gdt-mds-gcapi-2002-reg-cust-reln_v1,v1,BA0016990,AS0016990,SHP-IKP,ACTIVE,INTERNAL,,,,KONG,,,,,
https://alm-github.systems.uk.hsbc/GDT-MDS/gdt-mds-gcapi-2010-ngt-v1.git,gdt-mds-gcapi-2010-ngt-v1,v1,BA0016990,AS0016990,SHP-IKP,ACTIVE,INTERNAL,,,,KONG,,,,,
https://alm-github.systems.uk.hsbc/GDT-MDS/gdt-mds-gcapi-2009-tss-crt-v1.git,gdt-mds-gcapi-2009-tss-crt-v1,v1,BA0016990,AS0016990,SHP-IKP,ACTIVE,INTERNAL,,,,KONG,,,,,
https://alm-github.systems.uk.hsbc/GDT-MDS/gdt-mds-gcapi-2011-zcee-source-v1.git,gdt-mds-gcapi-2011-zcee-source-v1,v1,BA0016990,AS0016990,SHP-IKP,ACTIVE,INTERNAL,,,,KONG,,,,,
https://alm-github.systems.uk.hsbc/GDT-MDS/gdt-mds-gcapi-1009-ros.git,gdt-mds-gcapi-1009-ros,v1,BA0016990,AS0016990,SHP-IKP,ACTIVE,INTERNAL,,,,KONG,,,,,
https://alm-github.systems.uk.hsbc/GDT-MDS/gdt-mds-gcapi-1010-obs.git,gdt-mds-gcapi-1010-obs,v1,BA0016990,AS0016990,SHP-IKP,ACTIVE,INTERNAL,,,,KONG,,,,,
https://alm-github.systems.uk.hsbc/GDT-MDS/gdt-mds-gcapi-1011-cdm.git,gdt-mds-gcapi-1011-cdm,v1,BA0016990,AS0016990,SHP-IKP,ACTIVE,INTERNAL,,,,KONG,,,,,
https://alm-github.systems.uk.hsbc/GDT-MDS/gdt-datac-api-orch.git,gdt-datac-api-orch,,,,,ACTIVE,INTERNAL,,,,,,,,,
https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-101-acct-srch-pa.git,gdt-mds-gcdu-101-acct-srch-pa,V1,BA0003325,AS0003325,IKP,ACTIVE,INTERNAL,https://alm-github.systems.uk.hsbc/GCDU-Repository/gdt-mds-gcdu-101-acct-srch-pa/blob/GCDU-CHILD_ECB/src/main/resources/raml/api.raml,https://wpb-confluence.systems.uk.hsbc/display/GCDU/SWIFT+Pre-Validation+-+API+Contract-POL-GCDU,UK,KONG,https://digitalprod-int-rbwm.systems.uk.hsbc/gdt-mds-gcdu-101-acct-srch-pa-prod-internal-proxy/v1/api/dao/gcdu/party/v1/account-search,,,Global,
